lat,lon,type,name,tags
49.2639998,-123.115281,supermarket,Whole Foods Market,"{'brand:wikidata': 'Q1809448', 'addr:province': 'BC', 'wheelchair': 'yes', 'addr:housenumber': '510', 'phone': '+1-778-370-4210', 'brand:wikipedia': 'en:Whole Foods Market', 'opening_hours': 'Mo-Su 07:00-21:00', 'addr:street': 'West 8th Avenue', 'payment:debit_cards': 'yes', 'brand': 'Whole Foods Market', 'addr:postcode': 'V5Z 1C5', 'addr:city': 'Vancouver'}"
49.2630032,-123.1001861,supermarket,Home on the Range Organics,"{'opening_hours': 'Mo-Su 11:00-18:00', 'website': 'http://www.store.homeontherangefarms.com', 'addr:housenumber': '235', 'addr:street': 'East Broadway', 'phone': '+1-604-876-8755'}"
49.2567132,-123.1009336,convenience,Hasty Mart,{'opening_hours': '24/7'}
49.2578707,-123.1656956,supermarket,Choices Market,{}
49.2638028,-123.1856711,convenience,7-Eleven,"{'brand:wikidata': 'Q259340', 'brand': '7-Eleven', 'brand:wikipedia': 'en:7-Eleven'}"
49.2760946,-123.127478,convenience,7-Eleven,"{'brand:wikidata': 'Q259340', 'addr:province': 'BC', 'addr:housenumber': '1294', 'brand:wikipedia': 'en:7-Eleven', 'opening_hours': 'PH,Mo-Su 00:00-24:00', 'addr:street': 'Granville Street', 'brand': '7-Eleven', 'addr:city': 'Vancouver'}"
49.2817537,-123.120863,sports,Sport Chek,"{'brand:wikidata': 'Q3494037', 'wheelchair': 'yes', 'addr:housenumber': '788', 'air_conditioning': 'yes', 'opening_hours': 'Su-Tu 10:00-19:00; We-Sa 10:00-20:00', 'name:en': 'Sportchek', 'addr:street': 'Robson Street', 'payment:debit_cards': 'yes', 'sport': 'multi', 'brand': 'Sport Chek', 'addr:city': 'Vancouver'}"
49.2767415,-123.130413,supermarket,Sashimiya,"{'addr:province': 'BC', 'opening_hours': 'We-Su 11:00-20:00', 'addr:housenumber': '1348', 'addr:street': 'Hornby Street', 'phone': '+1-604-689-0088', 'addr:city': 'Vancouver'}"
49.2665997,-123.2430629,supermarket,H Mart,"{'brand:wikidata': 'Q5636306', 'name:ko': '한아름', 'brand:wikipedia': 'en:H Mart', 'cuisine': 'asian', 'name:en': 'H Mart', 'alt_name:ko': 'H 마트', 'name:zh-Hans': '韩亚龙', 'name:zh-Hant': '韓亞龍', 'brand': 'H Mart'}"
49.2639419,-123.1672194,alcohol,Broadway Wineshop,{}
49.264149,-123.1633008,bakery,Thomas Haas,{}
49.2640598,-123.1570263,alcohol,Kitsilano Liquor Store,{}
49.2663812,-123.242381,stationery,Staples,"{'brand:wikidata': 'Q17149420', 'brand': 'Staples', 'brand:wikipedia': 'en:Staples Inc.'}"
49.2892045,-123.1225516,supermarket,Urban Fare,"{'addr:province': 'BC', 'wheelchair': 'yes', 'website': 'https://www.urbanfare.com/store/coal-harbour', 'addr:housenumber': '305', 'opening_hours': 'Mo-Su 07:00-22:00', 'addr:street': 'Bute Street', 'addr:city': 'Vancouver'}"
49.276377,-123.1276679,alcohol,Spirit Of Howe,"{'addr:province': 'BC', 'opening_hours': 'PH,Mo-Su 09:00-23:00', 'addr:housenumber': '1275', 'addr:street': 'Granville Street', 'drive_through': 'no', 'addr:city': 'Vancouver'}"
49.2825485,-123.124372,alcohol,Sutton Place Wine Merchant,"{'addr:province': 'BC', 'opening_hours': 'Mo-Sa 11:00-22:00; Su 12:00-19:00', 'wheelchair': 'yes', 'addr:street': 'Burrard Street', 'drive_through': 'no', 'addr:city': 'Vancouver'}"
49.1927122,-123.0807962,stationery,Staples,"{'brand:wikidata': 'Q785943', 'addr:province': 'BC', 'website': 'http://www.staples.ca/', 'addr:housenumber': '2780', 'brand:wikipedia': 'en:Staples Inc.', 'addr:street': 'Sweden Way', 'brand': 'Staples', 'addr:postcode': 'V6V 2X1', 'operator': 'Staples Canada', 'addr:unit': 'Unit 110', 'addr:city': 'Richmond'}"
49.2484002,-123.0715121,supermarket,Famous Foods,"{'opening_hours': 'Mo-Su 08:00-21:00', 'addr:housenumber': '1595', 'addr:street': 'Kingsway', 'url': 'http://www.famousfoods.ca/'}"
49.2336555,-123.03572,convenience,7-Eleven,"{'brand:wikidata': 'Q259340', 'website': 'https://stores.7-eleven.ca/store/20875', 'addr:housenumber': '3304', 'phone': '+1-604-434-0817', 'brand:wikipedia': 'en:7-Eleven', 'opening_hours': '24/7', 'addr:street': 'Kingsway', 'brand': '7-Eleven'}"
49.2320932,-123.0330707,supermarket,Safeway,"{'brand:wikidata': 'Q1508234', 'wheelchair': 'limited', 'website': 'https://www.safeway.ca/', 'addr:housenumber': '3410', 'phone': '+1-604-439-0090', 'brand:wikipedia': 'en:Safeway Inc.', 'opening_hours': 'Mo-Su 07:00-00:00', 'addr:street': 'Kingsway', 'brand': 'Safeway', 'addr:postcode': 'V5R 5L4', 'addr:city': 'Vancouver'}"
49.2313436,-123.0322231,alcohol,BC Liquor Store,"{'brand:wikidata': 'Q43079557', 'website': 'https://www.bcliquorstores.com/store/locator?store=113', 'addr:housenumber': '3436', 'phone': '+1-604-660-5484', 'brand:wikipedia': 'en:BC Liquor Stores', 'opening_hours': 'Mo-Th 09:30-21:00; Fr-Sa 09:30-23:00; Su closed; PH off', 'addr:street': 'Kingsway', 'brand': 'BC Liquor Store', 'addr:postcode': 'V5R 5L4', 'url': 'http://www.bcliquorstores.com/store/113', 'addr:city': 'Vancouver'}"
49.2306334,-123.0658204,convenience,Sue's Grocery,"{'addr:housenumber': '5895', 'addr:street': 'Victoria Drive'}"
49.2184431,-123.0764361,convenience,7-Eleven,"{'brand:wikidata': 'Q259340', 'brand': '7-Eleven', 'brand:wikipedia': 'en:7-Eleven'}"
49.2254784,-123.0777343,supermarket,Save and Stay Food Store,{}
49.2844985,-123.1102033,clothes,One Of A Few,"{'opening_hours': 'Mo-Sa 11:00-18:00; Su 12:00-17:00', 'addr:housenumber': '354', 'addr:street': 'Water Street', 'addr:postcode': 'V6B 1B6', 'addr:city': 'Vancouver'}"
49.2837966,-123.1093068,clothes,Dutil,"{'website': 'https://www.dutildenim.com/', 'addr:housenumber': '303', 'addr:street': 'West Cordova Street'}"
49.2628781,-123.1066271,outdoor,Valhalla Pure Outfitters,"{'opening_hours': 'Mo-Sa 10:00-18:00; Su 10:30-17:30', 'addr:housenumber': '88', 'addr:street': 'West Broadway', 'addr:postcode': 'V5Y 1P2', 'addr:city': 'Vancouver'}"
49.2635057,-123.1230453,clothes,New Century Fashion,"{'opening_hours:signed': 'no', 'check_date:opening_hours': '2022-09-29'}"
49.2633136,-123.1121625,erotic,The Art of Loving,"{'addr:province': 'BC', 'website': 'https://www.artofloving.ca/', 'addr:housenumber': '369', 'addr:street': 'West Broadway', 'addr:city': 'Vancouver'}"
49.2632903,-123.1101309,art,Gar Po Chai,"{'addr:housenumber': '223', 'addr:unit': '109', 'addr:street': 'West Broadway'}"
49.2635969,-123.1285418,sports,The Dance Shop,"{'addr:province': 'BC', 'access:non_dancers': 'yes', 'addr:housenumber': '1089', 'addr:street': 'West Broadway', 'addr:city': 'Vancouver'}"
49.2634251,-123.1189741,craft,Michaels,"{'brand:wikidata': 'Q6835667', 'opening_hours': 'Mo-Sa 09:00-21:00; Su 10:00-19:00', 'brand': 'Michaels', 'brand:wikipedia': 'en:Michaels'}"
49.2631631,-123.107339,electronics,Foreign Electronics,{}
49.2769275,-123.0815616,ice_cream,La Casa Gelato,"{'addr:housenumber': '1033', 'payment:credit_cards': 'no', 'phone': '+1 604 251 3211', 'amenity': 'ice_cream', 'payment:cash': 'yes', 'opening_hours': 'Mo-Su 11:00-23:00', 'addr:street': 'Venables Street', 'payment:debit_cards': 'yes', 'addr:postcode': 'V6A 3R9', 'url': 'http://www.lacasagelato.com', 'addr:city': 'Vancouver'}"
49.2210893,-123.0653123,convenience,7-Eleven,"{'brand:wikidata': 'Q259340', 'brand': '7-Eleven', 'brand:wikipedia': 'en:7-Eleven'}"
49.2269806,-123.0659649,supermarket,Chong Lee Market,{}
49.2262519,-123.0659863,second_hand,Value Village,"{'brand:wikidata': 'Q7428188', 'brand': 'Value Village', 'brand:wikipedia': 'en:Savers'}"
49.2576848,-123.1533962,supermarket,Loblaws City Market,{}
49.1919458,-123.1701217,gift,VAC Thrift Store,"{'website': 'http://www.yvr.ca/en/blog/posts/YVR_s_Chaplaincy_gets_Thrifty.aspx', 'addr:housenumber': '4871', 'addr:street': 'Miller Road', 'addr:unit': '1136'}"
49.2873653,-123.128789,tea,Bubble World Tea House,"{'addr:province': 'BC', 'opening_hours': 'Mo-Su 11:30-02:00', 'addr:housenumber': '1325', 'addr:street': 'Robson Street', 'amenity': 'cafe', 'addr:city': 'Vancouver'}"
49.2690308,-123.046266,supermarket,大統華 T&T Supermarket,"{'brand:wikidata': 'Q837893', 'level': '0', 'brand:wikipedia': 'en:T & T Supermarket', 'addr:postcode': 'V5M 4N8', 'url': 'http://www.tnt-supermarket.com', 'addr:unit': '100', 'addr:housenumber': '2800', 'phone': '+1-604-254-9668', 'opening_hours': 'Mo-Su 09:00-21:30', 'name:en': 'T&T Supermarket', 'addr:street': 'East 1st Avenue', 'name:zh-Hans': '大统华', 'name:zh-Hant': '大統華', 'brand': 'T&T Supermarket', 'name:zh': '大統華超級市場'}"
49.2545419,-123.020042,convenience,7-Eleven,"{'brand:wikidata': 'Q259340', 'name:ko': '초콜릿공장(버나비)', 'website': 'https://stores.7-eleven.ca/store/26241', 'addr:housenumber': '3790', 'phone': '+1-604-438-1711', 'brand:wikipedia': 'en:7-Eleven', 'opening_hours': '24/7', 'addr:street': 'Canada Way', 'brand': '7-Eleven'}"
49.2311015,-123.004632,supermarket,Save-On-Foods,"{'brand:wikidata': 'Q7427974', 'wheelchair': 'yes', 'website': 'https://www.saveonfoods.com/store/willingdon/', 'addr:housenumber': '4469', 'phone': '+1-604-437-3220', 'brand:wikipedia': 'en:Save-On-Foods', 'opening_hours': 'Mo-Su 08:00-22:00', 'addr:street': 'Kingsway', 'brand': 'Save-On-Foods', 'addr:postcode': 'V5H 2A6', 'addr:city': 'Burnaby'}"
49.2274377,-123.001096,supermarket,Real Canadian Superstore,"{'brand:wikidata': 'Q7300856', 'wheelchair': 'yes', 'website': 'https://www.realcanadiansuperstore.ca/store-locator/?storeId=1518', 'addr:housenumber': '4700', 'level': '0', 'brand:wikipedia': 'en:Real Canadian Superstore', 'opening_hours': '07:00-23:00', 'check_date:opening_hours': '2022-02-19', 'addr:street': 'Kingsway', 'brand': 'Real Canadian Superstore'}"
49.2249256,-122.999969,supermarket,大統華 T&T Supermarket,"{'brand:wikidata': 'Q837893', 'wheelchair': 'yes', 'addr:housenumber': '4800', 'level': '-1', 'brand:wikipedia': 'en:T & T Supermarket', 'name:en': 'T&T Supermarket', 'addr:street': 'Kingsway', 'name:zh-Hans': '大统华', 'name:zh-Hant': '大統華', 'brand': 'T&T Supermarket'}"
49.2840648,-123.106845,art,Parliament,"{'addr:province': 'BC', 'addr:housenumber': '115', 'addr:street': 'Water Street', 'addr:postcode': 'V6B 1A7', 'addr:city': 'Vancouver'}"
49.2328094,-123.0351511,chemist,London Drugs,"{'brand:wikidata': 'Q3258955', 'wheelchair': 'yes', 'addr:housenumber': '3328', 'phone': '+1-604-448-4828', 'brand:wikipedia': 'en:London Drugs', 'amenity': 'pharmacy', 'opening_hours': 'Mo-Sa 09:00-22:00; Su 10:00-20:00; PH 09:00-21:00', 'addr:street': 'Kingsway', 'brand': 'London Drugs', 'addr:postcode': 'V5R 5L1', 'healthcare': 'pharmacy', 'addr:city': 'Vancouver'}"
49.2542649,-123.1154053,supermarket,Choice's Market,"{'website': 'https://www.choicesmarkets.com/store/cambie/', 'addr:housenumber': '3493', 'phone': '+1-604-875-0099', 'opening_hours': 'Su-Sa 08:00-23:00', 'addr:street': 'Cambie Street', 'addr:postcode': 'V5Z 2W7', 'email': 'cambie@choicesmarkets.com', 'addr:city': 'Vancouver'}"
49.2651323,-123.114299,department_store,Canadian Tire,"{'brand:wikidata': 'Q1032400', 'addr:province': 'BC', 'website': 'https://www.canadiantire.ca/', 'addr:housenumber': '2290', 'brand:wikipedia': 'en:Canadian Tire', 'opening_hours': 'Mo-Su 09:00-22:00', 'addr:street': 'Cambie Street', 'payment:debit_cards': 'yes', 'brand': 'Canadian Tire', 'addr:city': 'Vancouver'}"
49.2646749,-123.1142444,supermarket,Save-On-Foods,"{'brand:wikidata': 'Q7427974', 'addr:province': 'BC', 'website': 'https://www.saveonfoods.com/', 'addr:housenumber': '2308', 'brand:wikipedia': 'en:Save-On-Foods', 'opening_hours': 'Mo-Su 06:00-24:00', 'addr:street': 'Cambie Street', 'payment:debit_cards': 'yes', 'brand': 'Save-On-Foods', 'addr:city': 'Vancouver'}"
49.2757311,-123.124231,supermarket,Choices,"{'addr:province': 'BC', 'website': 'http://www.choicesmarket.com', 'addr:housenumber': '1202', 'payment:credit_cards': 'yes', 'phone': '+1-604-633-2392', 'payment:cash': 'yes', 'opening_hours': 'Mo-Su 08:00-22:00', 'check_date:opening_hours': '2021-12-31', 'addr:street': 'Richards Street', 'payment:debit_cards': 'yes', 'addr:postcode': 'V6B 3G2', 'addr:city': 'Vancouver'}"
49.2310934,-123.0653191,supermarket,Doli Supermarket,{}
49.2256284,-123.0538178,supermarket,88 Supermarket,{}
49.2582914,-123.1013997,convenience,Snack Land!,{}
49.2882295,-123.123333,nutrition_supplements,Body Energy Club,"{'addr:province': 'BC', 'opening_hours': 'Mo-Fr 07:00-21:00; Sa,Su 08:00-20:00', 'addr:housenumber': '1198', 'addr:street': 'West Pender Street', 'addr:postcode': 'V6E 2R9', 'addr:city': 'Vancouver'}"
49.2144445,-122.9891521,supermarket,Buy-Low Foods,"{'opening_hours': 'Mo-Su 08:00-21:00', 'addr:housenumber': '7641'}"
49.2702502,-123.1358836,clothes,Scallywags,{'wheelchair': 'limited'}
49.2702662,-123.1361186,sports,Half Time Sports,"{'website': 'https://halftimesports.ca', 'addr:housenumber': '1496', 'addr:street': 'Cartwright Street', 'addr:unit': '23'}"
49.2657275,-123.1202387,convenience,7-Eleven,"{'brand:wikidata': 'Q259340', 'atm': 'yes', 'brand': '7-Eleven', 'brand:wikipedia': 'en:7-Eleven'}"
49.269974,-123.135998,gift,Crystal Ark,"{'phone': '+1-604-681-8900', 'website': 'https://www.crystal-ark.com/', 'email': 'info@crystal-ark.com'}"
49.2512647,-123.0016995,convenience,The Stand,{}
49.2633767,-123.1347332,stationery,Staples,"{'brand:wikidata': 'Q17149420', 'brand': 'Staples', 'brand:wikipedia': 'en:Staples Canada'}"
49.2406215,-123.1017389,convenience,Stadium Market,"{'addr:housenumber': '4899', 'addr:street': 'Main Street'}"
49.2710955,-123.1362085,art,Eagle Spirit Gallery,"{'opening_hours': '11:00-17:00; Tu off', 'website': 'https://www.eaglespiritgallery.com/', 'addr:housenumber': '1803', 'addr:street': 'Maritime Mews', 'phone': '+1-604-801-5205'}"
49.2645715,-123.1363809,camera,Beau Photo Supplies Inc.,"{'addr:province': 'BC', 'wheelchair': 'yes', 'website': 'https://www.beauphoto.com', 'payment:credit_cards': 'yes', 'payment:cash': 'yes', 'opening_hours:covid19': 'same', 'addr:postcode': 'V6H 1C9', 'operator': 'Beau Photo Supplies', 'addr:unit': '110', 'addr:city': 'Vancouver', 'addr:housenumber': '1401', 'phone': '+1 604-734-7771', 'opening_hours': 'Mo-Fr 08:30-17:00, Th 08:30-19:00, Sa 10:00-14:00', 'addr:street': 'West 8th Avenue', 'payment:debit_cards': 'yes', 'email': 'info@beauphoto.com'}"
49.2633455,-123.136476,convenience,Circle K,"{'brand:wikidata': 'Q3268010', 'atm': 'yes', 'brand': 'Circle K', 'brand:wikipedia': 'en:Circle K'}"
49.2639745,-123.1387578,art,Kurbatoff Art Gallery,"{'website': 'http://www.kurbatoffgallery.com', 'addr:housenumber': '2435', 'addr:street': 'Granville Street', 'phone': '+1-604-736-5444'}"
49.2647807,-123.1387206,art,Douglas Reynolds Gallery,"{'addr:housenumber': '2335', 'addr:street': 'Granville Street'}"
49.2662876,-123.1387223,gift,Atkinson's,"{'addr:housenumber': '1501', 'addr:street': 'West 6th Avenue'}"
49.265448,-123.1387802,art,Heffel Fine Art Auction House,"{'opening_hours': 'Mo-Sa 10:00-18:00', 'addr:housenumber': '2247', 'addr:street': 'Granville Street', 'phone': '+1-604-732-6505'}"
49.269556,-123.139717,art,Edzerza Gallery,"{'addr:province': 'BC', 'opening_hours': 'Tu-Fr 11:00-20:00; Sa 12:00-17:00; Su off', 'addr:housenumber': '1536', 'addr:street': 'West 2nd Avenue', 'addr:city': 'Vancouver'}"
49.2719988,-123.135388,art,Dundarave Print Workshop + Gallery,"{'opening_hours': 'Fr-Su 11:00-17:00', 'website': 'https://www.dundaraveprintworkshop.com/', 'addr:housenumber': '1640', 'addr:street': 'Johnston Street', 'phone': '+1-604-689-1650', 'email': 'info@dundaraveprintworkshop.com'}"
49.265538,-123.1387221,art,Petly Jones Gallery,"{'addr:housenumber': '2245', 'addr:street': 'Granville Street'}"
49.2754345,-123.1209961,alcohol,Yaletown Brewing Company,"{'website': 'http://www.mjg.ca/yaletown/', 'product': 'beer', 'payment:credit_cards': 'yes', 'air_conditioning': 'yes', 'phone': '+1-604-681-2739', 'amenity': 'pub', 'smoking': 'no', 'opening_hours': 'Su-We 11:30-00:00; Th 11:30-01:00; Fr-Sa 11:30-03:00', 'craft': 'brewery', 'outdoor_seating': 'yes', 'payment:debit_cards': 'yes'}"
49.2665683,-123.1386562,art,Guild House Antiques,"{'addr:housenumber': '2121', 'addr:street': 'Granville Street'}"
49.2666544,-123.1386576,art,Langmann House,"{'opening_hours': 'Tu-Sa 10:00-17:00', 'addr:housenumber': '2117', 'addr:street': 'Granville Street', 'phone': '+1-604-736-8825'}"
49.2621398,-123.138356,alcohol,Jak's,"{'addr:province': 'BC', 'opening_hours': 'Mo-Su 09:00-23:00', 'addr:housenumber': '2658', 'addr:street': 'Granville Street', 'drive_through': 'no', 'addr:city': 'Vancouver'}"
49.2800327,-123.126018,alcohol,Wall Centre Fine Spirits,"{'addr:province': 'BC', 'wheelchair': 'yes', 'addr:housenumber': '1075', 'phone': '+1-604-893-7254', 'opening_hours': 'Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 13:00-21:00', 'check_date:opening_hours': '2021-04-19', 'addr:street': 'Hornby Street', 'addr:postcode': 'V6Z 2R9', 'addr:city': 'Vancouver'}"
49.2822136,-123.124929,supermarket,IGA,"{'brand:wikidata': 'Q3146662', 'addr:province': 'BC', 'wheelchair': 'yes', 'website': 'http://marketplaceiga.com', 'brand:wikipedia': 'en:IGA (supermarkets)', 'addr:postcode': 'V6Z 2N2', 'addr:unit': '110', 'addr:city': 'Vancouver', 'addr:housenumber': '909', 'phone': '+1-604-605-0612', 'opening_hours': 'Mo-Su 08:00-21:00', 'name:en': 'IGA', 'addr:street': 'Burrard Street', 'payment:debit_cards': 'yes', 'brand': 'IGA'}"
49.2647065,-123.13872309999999,clothes,Alison Boutique,"{'addr:housenumber': '2341', 'addr:street': 'Granville Street'}"
49.2681006,-123.1410372,shoes,The Right Shoe,"{'website': 'https://www.therightshoe.ca', 'addr:housenumber': '1601', 'addr:street': 'West 4th Avenue', 'addr:postcode': 'V6J 1L8'}"
49.268964,-123.143815,art,Gallery Jones,"{'opening_hours': 'Tu-Fr 11:00-18:00; Sa 12:00-17:00', 'addr:housenumber': '1725', 'addr:street': 'West 3rd Avenue'}"
49.2615967,-123.1389388,confectionery,Purdy's Chocolates,"{'addr:province': 'BC', 'addr:housenumber': '2705', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
49.2798121,-123.0994906,bakery,The Boss Bakery & Restaurant,"{'opening_hours': 'Mo-Su 07:00-19:00', 'cuisine': 'chinese;hong_kong_cafe', 'addr:housenumber': '532', 'addr:street': 'Main Street', 'amenity': 'restaurant'}"
49.2795664,-123.0978123,bakery,Maxim's Bakery,"{'addr:housenumber': '257', 'addr:street': 'Keefer Street'}"
49.2795821,-123.0979009,butcher,Sing Chong Food Center,"{'phone': '+1-604-684-0253', 'addr:housenumber': '253', 'addr:street': 'Keefer Street'}"
49.2795795,-123.0981154,bakery,Sun Fresh Bakery,"{'addr:housenumber': '245', 'addr:street': 'Keefer Street'}"
49.2715126,-123.1364315,seafood,The Lobster Man,"{'website': 'https://lobsterman.com/', 'addr:housenumber': '1807', 'addr:street': 'Mast Tower Road', 'phone': '+1-604-687-4228'}"
49.2715179,-123.1361848,seafood,Finest At Sea,"{'opening_hours': 'Tu 09:30-16:00; We,Su 09:30-17:00; Th-Sa 09:30-18:00', 'addr:housenumber': '1805', 'addr:street': 'Mast Tower Road', 'phone': '+1-604-684-4114'}"
49.2636581,-123.1316275,shoes,Kintec Footwear + Orthotics,"{'opening_hours': 'Mo-Fr 10:00-18:00; Sa 09:00-17:00', 'addr:housenumber': '1201', 'addr:street': 'West Broadway', 'phone': '+1-604-736-3338'}"
49.2636753,-123.1328795,sports,My Fly Shop,"{'website': 'www.myflyshop.com', 'addr:housenumber': 'Suite 105 1245', 'addr:street': 'West Broadway'}"
49.269628,-123.144901,patisserie,Les Amis Du Fromage,"{'addr:housenumber': '1752', 'addr:street': 'West 2nd Avenue'}"
49.2627658,-123.1383874,clothes,Edward Chapman Woman,"{'addr:province': 'BC', 'addr:housenumber': '2596', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
49.2721539,-123.1354336,wine,Liberty Wines,{'opening_hours': 'Mo-Th 09:30-20:00; Fr 09:30-21:00; Sa 09:00-21:00; Su 09:00-20:00'}
49.2721565,-123.1355718,gift,Circle Craft,"{'website': 'https://circlecraft.net', 'addr:housenumber': '1666', 'addr:street': 'Johnston Street', 'addr:unit': '1'}"
49.2713854,-123.1358202,art,Malaspina Printmakers,"{'opening_hours': 'Tu-Fr 10:00-17:00; Sa-Su 11:00-17:00', 'website': 'https://www.malaspinaprintmakers.com/locations/granville-island-location/', 'addr:housenumber': '1555', 'addr:street': 'Duranleau Street'}"
49.2683866,-123.15711,supermarket,Whole Foods Market,"{'brand:wikidata': 'Q1809448', 'addr:province': 'BC', 'opening_hours': 'Mo-Su 08:00-22:00', 'brand': 'Whole Foods Market', 'brand:wikipedia': 'en:Whole Foods Market', 'addr:city': 'Vancouver'}"
49.2683466,-123.1565479,wine,Kitsilano Wine Cellar,"{'addr:housenumber': '2239', 'addr:street': 'West 4th Avenue', 'addr:city': 'Vancouver'}"
49.2683341,-123.1557957,clothes,Judith & Charles,"{'addr:housenumber': '2207', 'addr:street': 'West 4th Avenue', 'addr:city': 'Vancouver'}"
49.2717616,-123.0278191,supermarket,Bosa Foods,"{'wheelchair': 'yes', 'website': 'https://bosafoods.com/', 'addr:housenumber': '1465', 'phone': '+1-604-253-5578', 'opening_hours': 'Mo-Th 08:30-17:30; Fr 08:30-19:30; Sa 08:30-17:30', 'cuisine': 'italian;mediterranean', 'addr:street': 'Kootenay Street'}"
49.2636283,-123.1301549,alcohol,Broadway Liquor Store,"{'opening_hours': 'Mo-Su 10:00-23:00', 'addr:housenumber': '1169', 'addr:street': 'West Broadway'}"
49.2587727,-123.1384619,supermarket,Meinhardt,"{'website': 'http://meinhardt.com', 'addr:housenumber': '3002', 'internet_access': 'wlan', 'phone': '+1-604-732-4405', 'opening_hours': 'Mo-Sa 08:00-20:00; Su 09:00-20:00', 'name:en': 'MeinHardt Fine Foods', 'addr:street': 'Granville Street'}"
49.2608325,-123.1154257,supermarket,Kin's Farm Market,{'opening_hours': 'Mo-Su 09:00-19:00'}
49.260983,-123.1157472,convenience,Hye Park Express,{}
49.260992,-123.117099,alcohol,Lennox Liquor Store,{'opening_hours': 'Mo-Su 10:00-23:00'}
49.268306,-123.171195,clothes,Splash,{}
49.268266,-123.171322,clothes,Twist,"{'website': 'https://twistfashions.com/', 'addr:housenumber': '2952', 'addr:street': 'West 4th Avenue'}"
49.2681101,-123.1592724,bakery,Terra Breads,"{'opening_hours': 'Mo-Sa 07:00-19:00; Su 07:00-18:00', 'addr:housenumber': '2380', 'addr:street': 'West 4th Avenue', 'phone': '+1-604-736-1838'}"
49.2680979,-123.1580017,bakery,COBS Bread,"{'brand:wikidata': 'Q4849261', 'addr:housenumber': '2320', 'addr:street': 'West 4th Avenue', 'brand': 'COBS Bread', 'brand:wikipedia': 'en:Bakers Delight'}"
49.2680983,-123.158219,seafood,The 7 Seas,"{'opening_hours': 'Mo-Su 09:00-18:30', 'website': 'https://www.7seas.ca/', 'addr:housenumber': '2328', 'addr:street': 'West 4th Avenue'}"
49.2791315,-123.0870375,art,Paneficio,"{'addr:housenumber': '800', 'addr:street': 'Keefer Street'}"
49.2774731,-123.0809914,art,The Onion,{}
